time(s),flow(L/m)
2.43,21.157
2.432,21.1147
2.434,21.0725
2.436,21.0302
2.438,20.9879
2.44,20.9456
2.442,20.9033
2.444,20.861
2.446,20.8188
2.448,20.7765
2.45,20.7342
2.452,20.6919
2.454,20.6496
2.456,20.6073
2.458,20.5651
2.46,20.5228
2.462,20.4805
2.464,20.4382
2.466,20.3959
2.468,20.3536
2.47,20.3113
2.472,20.2691
2.474,20.2268
2.476,20.1845
2.478,20.1422
2.48,20.0999
2.482,20.0576
2.484,20.0154
2.486,19.9731
2.488,19.9308
2.49,19.8885
2.492,19.8462
2.494,19.8039
2.496,19.7617
2.498,19.7194
2.5,19.6771
2.502,19.6348
2.504,19.5925
2.506,19.5502
2.508,19.508
2.51,19.4657
2.512,19.4234
2.514,19.3811
2.516,19.3388
2.518,19.2965
2.52,19.2543
2.522,19.212
2.524,19.1697
2.526,19.1274
2.528,19.0851
2.53,19.0428
2.532,19.0006
2.534,18.9583
2.536,18.916
2.538,18.8737
2.54,18.8314
2.542,18.7891
2.544,18.7469
2.546,18.7046
2.548,18.6623
2.55,18.62
2.552,18.5777
2.554,18.5354
2.556,18.4932
2.558,18.4509
2.56,18.4086
2.562,18.3663
2.564,18.324
2.566,18.2817
2.568,18.2395
2.57,18.1972
2.572,18.1549
2.574,18.1126
2.576,18.0703
2.578,18.028
2.58,17.9857
2.582,17.9435
2.584,17.9012
2.586,17.8589
2.588,17.8166
2.59,17.7743
2.592,17.732
2.594,17.6898
2.596,17.6475
2.598,17.6052
2.6,17.5629
2.602,17.5206
2.604,17.4783
2.606,17.4359
2.608,17.3936
2.61,17.3513
2.612,17.3089
2.614,17.2666
2.616,17.2243
2.618,17.182
2.62,17.1396
2.622,17.0973
2.624,17.055
2.626,17.0127
2.628,16.9703
2.63,16.928
2.632,16.8857
2.634,16.8433
2.636,16.801
2.638,16.7587
2.64,16.7164
2.642,16.674
2.644,16.6317
2.646,16.5894
2.648,16.547
2.65,16.5047
2.652,16.4624
2.654,16.4201
2.656,16.3777
2.658,16.3354
2.66,16.2931
2.662,16.2508
2.664,16.2084
2.666,16.1661
2.668,16.1238
2.67,16.0814
2.672,16.0391
2.674,15.9968
2.676,15.9545
2.678,15.9121
2.68,15.8698
2.682,15.8275
2.684,15.7852
2.686,15.7428
2.688,15.7005
2.69,15.6582
2.692,15.6158
2.694,15.5735
2.696,15.5312
2.698,15.4889
2.7,15.4465
2.702,15.4042
2.704,15.3619
2.706,15.3195
2.708,15.2772
2.71,15.2349
2.712,15.1926
2.714,15.1502
2.716,15.1079
2.718,15.0656
2.72,15.0233
2.722,14.9809
2.724,14.9386
2.726,14.8963
2.728,14.8539
2.73,14.8116
2.732,14.7693
2.734,14.727
2.736,14.6846
2.738,14.6423
2.74,14.6
2.742,14.5577
2.744,14.5153
2.746,14.473
2.748,14.4307
2.75,14.3883
2.752,14.346
2.754,14.3037
2.756,14.2614
2.758,14.219
2.76,14.1767
2.762,14.1344
2.764,14.092
2.766,14.0497
2.768,14.0074
2.77,13.9651
2.772,13.9227
2.774,13.8804
2.776,13.8381
2.778,13.7958
2.78,13.7534
2.782,13.7111
2.784,13.6688
2.786,13.6264
2.788,13.5841
2.79,13.5418
2.792,13.4995
2.794,13.4571
2.796,13.4148
2.798,13.3725
2.8,13.3301
2.802,13.2901
2.804,13.25
2.806,13.21
2.808,13.1699
2.81,13.1299
2.812,13.0898
2.814,13.0498
2.816,13.0097
2.818,12.9696
2.82,12.9296
2.822,12.8895
2.824,12.8495
2.826,12.8094
2.828,12.7694
2.83,12.7293
2.832,12.6892
2.834,12.6492
2.836,12.6091
2.838,12.5691
2.84,12.529
2.842,12.489
2.844,12.4489
2.846,12.4088
2.848,12.3688
2.85,12.3287
2.852,12.2887
2.854,12.2486
2.856,12.2086
2.858,12.1685
2.86,12.1285
2.862,12.0884
2.864,12.0483
2.866,12.0083
2.868,11.9682
2.87,11.9282
2.872,11.8881
2.874,11.8481
2.876,11.808
2.878,11.7679
2.88,11.7279
2.882,11.6878
2.884,11.6478
2.886,11.6077
2.888,11.5677
2.89,11.5276
2.892,11.4875
2.894,11.4475
2.896,11.4074
2.898,11.3674
2.9,11.3273
2.902,11.2873
2.904,11.2472
2.906,11.2072
2.908,11.1671
2.91,11.127
2.912,11.087
2.914,11.0469
2.916,11.0069
2.918,10.9668
2.92,10.9268
2.922,10.8867
2.924,10.8466
2.926,10.8066
2.928,10.7665
2.93,10.7265
2.932,10.6864
2.934,10.6464
2.936,10.6063
2.938,10.5662
2.94,10.5262
2.942,10.4861
2.944,10.4461
2.946,10.406
2.948,10.366
2.95,10.3259
2.952,10.2858
2.954,10.2458
2.956,10.2057
2.958,10.1657
2.96,10.1256
2.962,10.0856
2.964,10.0455
2.966,10.0055
2.968,9.9654
2.97,9.92534
2.972,9.88528
2.974,9.84523
2.976,9.80517
2.978,9.76511
2.98,9.72506
2.982,9.685
2.984,9.64494
2.986,9.60489
2.988,9.56483
2.99,9.52477
2.992,9.48472
2.994,9.44466
2.996,9.4046
2.998,9.36455
3,9.32449
3.002,9.28931
3.004,9.25413
3.006,9.21894
3.008,9.18376
3.01,9.14858
3.012,9.1134
3.014,9.07821
3.016,9.04303
3.018,9.00785
3.02,8.97267
3.022,8.93748
3.024,8.9023
3.026,8.86712
3.028,8.83193
3.03,8.79675
3.032,8.76157
3.034,8.72639
3.036,8.6912
3.038,8.65602
3.04,8.62084
3.042,8.58566
3.044,8.55047
3.046,8.51529
3.048,8.48011
3.05,8.44493
3.052,8.40974
3.054,8.37456
3.056,8.33938
3.058,8.30419
3.06,8.26901
3.062,8.23383
3.064,8.19865
3.066,8.16346
3.068,8.12828
3.07,8.0931
3.072,8.05792
3.074,8.02273
3.076,7.98755
3.078,7.95237
3.08,7.91719
3.082,7.882
3.084,7.84682
3.086,7.81164
3.088,7.77646
3.09,7.74127
3.092,7.70609
3.094,7.67091
3.096,7.63572
3.098,7.60054
3.1,7.56536
3.102,7.53018
3.104,7.49499
3.106,7.45981
3.108,7.42463
3.11,7.38945
3.112,7.35426
3.114,7.31908
3.116,7.2839
3.118,7.24872
3.12,7.21353
3.122,7.17835
3.124,7.14317
3.126,7.10798
3.128,7.0728
3.13,7.03762
3.132,7.00244
3.134,6.96725
